Dealer Up-Card,Player Total,Recommended Action
2,4,hit
3,4,hit
4,4,hit
5,4,hit
6,4,hit
7,4,hit
8,4,hit
9,4,hit
10,4,hit
11,4,hit
2,5,hit
3,5,hit
4,5,hit
5,5,hit
6,5,hit
7,5,hit
8,5,hit
9,5,hit
10,5,hit
11,5,hit
2,6,hit
3,6,hit
4,6,hit
5,6,hit
6,6,hit
7,6,hit
8,6,hit
9,6,hit
10,6,hit
11,6,hit
2,7,hit
3,7,hit
4,7,hit
5,7,hit
6,7,hit
7,7,hit
8,7,hit
9,7,hit
10,7,hit
11,7,hit
2,8,hit
3,8,hit
4,8,hit
5,8,hit
6,8,hit
7,8,hit
8,8,hit
9,8,hit
10,8,hit
11,8,hit
2,9,hit
3,9,double
4,9,double
5,9,double
6,9,double
7,9,hit
8,9,hit
9,9,hit
10,9,hit
11,9,hit
2,10,double
3,10,double
4,10,double
5,10,double
6,10,double
7,10,double
8,10,double
9,10,double
10,10,hit
11,10,hit
2,11,double
3,11,double
4,11,double
5,11,double
6,11,double
7,11,double
8,11,double
9,11,double
10,11,double
11,11,double
2,12,hit
3,12,hit
4,12,stand
5,12,stand
6,12,stand
7,12,hit
8,12,hit
9,12,hit
10,12,hit
11,12,hit
2,13,stand
3,13,stand
4,13,stand
5,13,stand
6,13,stand
7,13,hit
8,13,hit
9,13,hit
10,13,hit
11,13,hit
2,14,stand
3,14,stand
4,14,stand
5,14,stand
6,14,stand
7,14,hit
8,14,hit
9,14,hit
10,14,hit
11,14,hit
2,15,stand
3,15,stand
4,15,stand
5,15,stand
6,15,stand
7,15,hit
8,15,hit
9,15,hit
10,15,hit
11,15,hit
2,16,stand
3,16,stand
4,16,stand
5,16,stand
6,16,stand
7,16,hit
8,16,hit
9,16,hit
10,16,hit
11,16,hit
2,17,stand
3,17,stand
4,17,stand
5,17,stand
6,17,stand
7,17,stand
8,17,stand
9,17,stand
10,17,stand
11,17,stand
2,18,stand
3,18,stand
4,18,stand
5,18,stand
6,18,stand
7,18,stand
8,18,stand
9,18,stand
10,18,stand
11,18,stand
2,19,stand
3,19,stand
4,19,stand
5,19,stand
6,19,stand
7,19,stand
8,19,stand
9,19,stand
10,19,stand
11,19,stand
2,20,stand
3,20,stand
4,20,stand
5,20,stand
6,20,stand
7,20,stand
8,20,stand
9,20,stand
10,20,stand
11,20,stand
